Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
B Environmental Sciences;B Environmental Sciences;56283;Milieu en Duurzaamheid;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;milieu en natuurbeheer;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - landbouw, biologie en biochemische technologie;;milieukunde;milieu;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Biobased Sciences;M Biobased Sciences;60961;Milieu- en Energietechnologie;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - chemische technologie;;milieutechnologie;milieubescherming en milieutechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
M Biosystems Engineering;M Biosystems Engineering;66831;Milieu- en Energietechnologie;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - chemische technologie;;milieutechnologie;milieubescherming en milieutechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
B Moleculaire Levenswetenschappen;B Moleculaire Levenswetenschappen;59304;Moleculaire Levenswetenschappen;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Molecular Life Sciences;M Molecular Life Sciences;60303;Moleculaire Levenswetenschappen;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Plantenwetenschappen;B Plantenwetenschappen;56835;Plantenwetenschappen;Landbouw en Veeteelt;landbouw, diergeneeskunde en -verzorging;landbouw;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - landbouw, biologie en biochemische technologie;;planten-, groente en fruitteelt;landbouw en veeteelt;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Plant Sciences;M Plant Sciences;66835;Plantenwetenschappen;Landbouw en Veeteelt;landbouw, diergeneeskunde en -verzorging;landbouw;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - landbouw, biologie en biochemische technologie; ;planten-, groente en fruitteelt;landbouw en veeteelt;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Landscape and Environment Management;B Landscape and Environment Management;30028;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - bouwkunde, civiele techniek en architectuur;;landschapsarchitectuur;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
B Tuin- en Landschapsinrichting;B Tuin- en Landschapsinrichting;34220;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - bouwkunde, civiele techniek en architectuur;;landschapsarchitectuur;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
B Management van de Leefomgeving;B Management van de Leefomgeving;34859;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - bouwkunde, civiele techniek en architectuur;;landschapsarchitectuur;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
B Landschapsarchitectuur en ruimtelijke planning;B Landschapsarchitectuur en ruimtelijke planning;56848;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - bouwkunde, civiele techniek en architectuur;;landschapsarchitectuur;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
Ad Tuin- en Landschapsinrichting;Ad Tuin- en Landschapsinrichting;80068;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - bouwkunde, civiele techniek en architectuur;;landschapsarchitectuur;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Landscape Architecture and Planning;M Landscape Architecture and Planning;66848;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - bouwkunde, civiele techniek en architectuur;;landschapsarchitectuur;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Duurzame Gebiedstransities;M Duurzame Gebiedstransities;40125;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;LANDBOUW_EN_NATUURLIJKE_OMGEVING;ROA NOG NIET INGEDEELD;;;;;;
Ad Groene Leefomgeving;Ad Groene Leefomgeving;80195;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;landbouw, diergeneeskunde en -verzorging;landbouw;LANDBOUW_EN_NATUURLIJKE_OMGEVING;ROA NOG NIET INGEDEELD;;;;;;
M Urban Environmental Management;M Urban Environmental Management;60110;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;wiskunde, natuurwetenschappen;milieu en natuurbeheer;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - landbouw, biologie en biochemische technologie;;milieukunde;milieu;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
Ad Omgevingskunde;Ad Omgevingskunde;80023;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;recht, administratie, handel en zakelijke dienstverlening;recht;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - recht;;nederlands, algemeen recht, rechterlijke macht;recht;Economie en Maatschappij;Economie en Recht;Recht
B Tuinbouw en Akkerbouw;B Tuinbouw en Akkerbouw;34868;Tuin- en Akkerbouw;Landbouw en Veeteelt;landbouw, diergeneeskunde en -verzorging;landbouw;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - landbouw, biologie en biochemische technologie;;planten-, groente en fruitteelt;landbouw en veeteelt;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
Ad Tuinbouw en Akkerbouw;Ad Tuinbouw en Akkerbouw;80012;Tuin- en Akkerbouw;Landbouw en Veeteelt;landbouw, diergeneeskunde en -verzorging;landbouw;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - landbouw, biologie en biochemische technologie;;planten-, groente en fruitteelt;landbouw en veeteelt;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
Ad Tuinbouwmanagement;Ad Tuinbouwmanagement;80129;Tuin- en Akkerbouw;Landbouw en Veeteelt;landbouw, diergeneeskunde en -verzorging;landbouw;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - landbouw, biologie en biochemische technologie;Management?;land(akker)bouw algemeen;landbouw en veeteelt;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Resilient Farming and Food Systems;M Resilient Farming and Food Systems;69300;Tuin- en Akkerbouw;Landbouw en Veeteelt;landbouw, diergeneeskunde en -verzorging;landbouw;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - landbouw, biologie en biochemische technologie;;land(akker)bouw algemeen;landbouw en veeteelt;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Food Innovation;B Food Innovation;34122;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - landbouw, biologie en biochemische technologie;Voedingsmiddelentechnologie en productie;voeding en gezondheid;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Food Quality Management;M Food Quality Management;60109;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - landbouw, biologie en biochemische technologie;Voedingsmiddelentechnologie en productie;voeding en gezondheid;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Food Safety;M Food Safety;60112;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - landbouw, biologie en biochemische technologie;Voedingsmiddelentechnologie en productie;voeding en gezondheid;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Food Commerce & Technology;B Food Commerce & Technology;30022;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;techniek, industrie en bouwkunde;levensmiddelentechnologie- en non-ferrotechniek;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - chemische technologie;Voedingsmiddelentechnologie en productie;levensmiddelen algemeen;levensmiddelentechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
B Voedingsmiddelentechnologie;B Voedingsmiddelentechnologie;34856;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;techniek, industrie en bouwkunde;levensmiddelentechnologie- en non-ferrotechniek;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - chemische technologie;Voedingsmiddelentechnologie en productie;levensmiddelen algemeen;levensmiddelentechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
B Food Technology;B Food Technology;56973;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;techniek, industrie en bouwkunde;levensmiddelentechnologie- en non-ferrotechniek;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - chemische technologie;Voedingsmiddelentechnologie en productie;levensmiddelen algemeen;levensmiddelentechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
Ad Voedingsmiddelentechnologie;Ad Voedingsmiddelentechnologie;80141;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;techniek, industrie en bouwkunde;levensmiddelentechnologie- en non-ferrotechniek;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - chemische technologie;Voedingsmiddelentechnologie en productie;levensmiddelen algemeen;levensmiddelentechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
M Food Technology;M Food Technology;66973;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;techniek, industrie en bouwkunde;levensmiddelentechnologie- en non-ferrotechniek;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - chemische technologie;Voedingsmiddelentechnologie en productie;levensmiddelen algemeen;levensmiddelentechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
B Agrotechnologie;B Agrotechnologie;56831;Werktuigbouwkunde;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Bachelor - werktuigbouwkunde;Meer technisch ;werktuigbouwkunde algemeen;werktuigbouwkunde en metaalbewerking;Techniek en Ict;Techniek en Ict;Werktuigbouwkunde
B Aardwetenschappen;B Aardwetenschappen;56986;Aardwetenschappen;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;geologie, fysische geografie;aardwetenschappen;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Earth Sciences;M Earth Sciences;66986;Aardwetenschappen;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Master - wis-, schei-, natuurkunde en geologie;;geologie, fysische geografie;aardwetenschappen;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
B Business Engineering;B Business Engineering;50769;Bedrijfstechniek en Technische bedrijfsvoering;Technische Bedrijfsvoering en Econometrie;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;NATUUR;Bachelor - management, bedrijfs- en personeelwetenschappen;Bedrijfskunde en engineering;bedrijfstechniek, technische bedrijfsvoering;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B Biologie;B Biologie;56860;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Biology;B Biology;59325;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Marine Biology;M Marine Biology;60609;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Biological Sciences;M Biological Sciences;60707;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Systems Biology;M Systems Biology and Bioinformatics;60956;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;Staat in CROHO-lijst als Systems Biology and Bioinformatics;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Biology;M Biology;66860;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Biosciences;M Biosciences;68713;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Ecology and Evolution;M Ecology and Evolution;60365;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;milieu en natuurbeheer;NATUUR;Master - landbouw, biologie en biochemische technologie;;milieukunde;milieu;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Ecology;M Ecology;60607;Biologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;milieu en natuurbeheer;NATUUR;Master - landbouw, biologie en biochemische technologie;;milieukunde;milieu;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Medische Natuurwetenschappen;B Medische Natuurwetenschappen;50800;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Molecular Mechanisms of Disease (research);M Molecular Mechanisms of Disease (research);60322;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;Past ook bij moleculaire levenswetenschappen;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Medical Biology;M Medical Biology;60610;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Biomedical Technology and Physics;M Biomedical Technology and Physics;60800;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biomedische wetenschappen;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Molecular Medicine and Innovative Treatment;M Molecular Medicine and Innovative Treatment;60617;Biomedische Wetenschappen en Klinische Technologie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Master - farmacie en gezondsheidswetenschappen;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Bioinformatics and Systems Biology (joint degree);M Bioinformatics and Systems Biology (joint degree);65020;Biotechnologie;Biologie en Biotechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;biochemie, biologische laboratoriumtechniek;biochemie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
M Molecular Sciences;M Molecular Sciences;66991;Chemie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Master - landbouw, biologie en biochemische technologie;;moleculaire wetenschappen;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Scheikunde (joint degree);B Scheikunde (joint degree);55012;Chemie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;scheikunde;scheikunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
B Scheikunde;B Scheikunde;56857;Chemie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;scheikunde;scheikunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
B Chemistry;B Chemistry;56943;Chemie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;scheikunde;scheikunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Chemische Wetenschappen;M Chemische Wetenschappen;60706;Chemie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Master - wis-, schei-, natuurkunde en geologie;;scheikunde;scheikunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Chemistry (joint degree);M Chemistry (joint degree);65012;Chemie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Master - wis-, schei-, natuurkunde en geologie;;scheikunde;scheikunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Chemistry;M Chemistry;66857;Chemie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;wiskunde, natuurwetenschappen;natuurwetenschappen;NATUUR;Master - wis-, schei-, natuurkunde en geologie;;scheikunde;scheikunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
B Psychobiologie;B Psychobiologie;50014;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;Bachelor - landbouw, biologie en biochemische technologie;;biologie;biologie;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
B Brain Science;B Brain Science;59347;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;wiskunde, natuurwetenschappen;biologie en biochemie;NATUUR;ROA NOG NIET INGEDEELD;;;;;;
M Cognitive Neuroscience (research);M Cognitive Neuroscience (research);60506;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;NATUUR;Master - psychologie;;psychologie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie
M Behavioural and Cognitive Neurosciences (research);M Behavioural and Cognitive Neurosciences (research);60615;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;NATUUR;Master - psychologie;;psychologie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie
M Neurosciences (research);M Neurosciences (research);60806;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;NATUUR;Master - psychologie;;psychologie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie
M Brain and Cognitive Sciences (research);M Brain and Cognitive Sciences (research);60323;Cognitieve en Neurowetenschappen;Psychologie en Neurowetenschappen;informatica;informatica;NATUUR;Master - informatica;;kunstmatige intelligentie en kennistechnologie;informatica overig;Techniek en Ict;Techniek en Ict;Informatica
B Computing Science;B Computing Science;59326;Computationele Wetenschap;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Bachelor - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Computing Science;M Computing Science;60364;Computationele Wetenschap;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Computational Cognitive Science;M Computational Cognitive Science;60653;Computationele Wetenschap;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Master - informatica;Of cognitieve en neurowetenschappen;kunstmatige intelligentie en kennistechnologie;informatica overig;Techniek en Ict;Techniek en Ict;Informatica
M Computational Science (joint degree);M Computational Science (joint degree);65015;Computationele Wetenschap;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
M Security and Network Engineering;M Security and Network Engineering;60227;Cybersecurity;ICT en Cybersecurity;informatica;informatica;NATUUR;Master - informatica;;netwerk- en systeembeheer;ontwerp en beheer van database en netwerken;Techniek en Ict;Techniek en Ict;Informatica
M Computer Security;M Computer Security;60802;Cybersecurity;ICT en Cybersecurity;techniek, industrie en bouwkunde;techniek en technische dienstverlening;NATUUR;Master - elektrotechniek;;computertechniek en computer engineering;elektronica en industriële automatisering;Techniek en Ict;Techniek en Ict;Elektrotechniek
M Data Science for Decision Making;M Data Science for Decision Making;60125;Data Science;Data Science en Kunstmatige Intelligentie;journalistiek, gedrag en maatschappij;gedrag en maatschappij;NATUUR;Master - economie en econometrie;;econometrie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Applied Data Science;M Applied Data Science;60971;Data Science;Data Science en Kunstmatige Intelligentie;informatica;informatica;NATUUR;Master - informatica;;informatietechnologie algemeen;softwareontwikkeling en systeemanalyse;Techniek en Ict;Techniek en Ict;Informatica
B Data Science and Society;B Data Science and Society;50982;Data Science;Data Science en Kunstmatige Intelligentie;wiskunde, natuurwetenschappen;wiskunde en statistiek;NATUUR;Bachelor - wis-, schei-, natuurkunde en geologie;;statistiek;statistiek;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Statistics and Data Science;M Statistics and Data Science;60957;Data Science;Data Science en Kunstmatige Intelligentie;wiskunde, natuurwetenschappen;wiskunde en statistiek;NATUUR;Master - wis-, schei-, natuurkunde en geologie;;statistiek;statistiek;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Business Analytics;M Business Analytics;66856;Econometrie, Actuariële Wetenschappen en Operationele research;Technische Bedrijfsvoering en Econometrie;wiskunde, natuurwetenschappen;wiskunde en statistiek;NATUUR;Master - wis-, schei-, natuurkunde en geologie;Business analytics;wiskunde;wiskunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Conservering en Restauratie van Cultureel Erfgoed;M Conservering en Restauratie van Cultureel Erfgoed;60335;Erfgoedstudies;Kunst, Cultuur en Erfgoed;vormgeving, kunst, talen en geschiedenis;geesteswetenschappen;NATUUR;Master - taal en cultuur;;museologie;geschiedenis, archeologie;Economie en Maatschappij;Kunst, Taal en Cultuur;Taal en Cultuur
M Bio-Pharmaceutical Sciences;M Bio-Pharmaceutical Sciences;60207;Farmacie;Gezondheidszorg - onderzoek en techniek;gezondheidszorg en welzijn;gezondheidszorg;NATUUR;Master - farmacie en gezondsheidswetenschappen;;farmacie;farmacie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
